code,section,open,high,low,volume,market_cap,foreigner_rate,inst_buy,KOSPI,KOSDAQ,NASDAQ,exchange_rate,HangSeng
A000250,KOSDAQ,0.997682037326837,0.998991958353998,0.998800085650269,0.121487549998198,0.99977061268877,0.347407303671291,0.0116054263782211,0.658873310856481,0.761852602928702,0.799041104028103,0.122097665607738,0.317488301147436
A000440,KOSDAQ,0.994184752741538,0.996130828808273,0.996434678358853,0.408315656389429,0.999999999855912,0.276197865399816,-0.0636615609060823,0.693466579149448,0.644004122404807,0.696803833812461,0.211218377719975,0.171670246513691
A001000,KOSDAQ,0.986074750146699,0.990731919882171,0.993490025957327,0.172345185241769,0.99999999992636,0.429991320180402,0.00489828592464305,0.193887618748891,0.373733737054281,0.0444355353632091,0.118064363557382,0.0724926625903008
A001540,KOSDAQ,0.990733711164789,0.995401035011201,0.995588692247306,0.146900013843426,0.999849193920704,-0.192073853041015,0.0492189300974993,-0.10479921201526,0.151540431617231,-0.247984434451964,-0.0474468467256534,-0.155207397354913
A001810,KOSDAQ,0.993149030017811,0.995468990233955,0.996150572622586,0.11068247517833,0.999999999843628,-0.443445440436495,0.0986223676462919,0.185412824565633,0.212170875742475,-0.165216851585576,-0.175344749844089,-0.03266259718252
A001840,KOSDAQ,0.992246204283425,0.995466870924227,0.995561650524001,0.305628557153418,0.994004920448791,0.227432720669528,0.00295617922432645,0.601045266777644,0.596595611214803,0.49861952853192,-0.166160964123498,0.354023086563763
A002230,KOSDAQ,0.992437148429557,0.995567502115078,0.995883690095372,0.278718009288169,0.943400493504949,0.583342587130554,0.0179732359409353,0.152219998164747,0.246005053893826,-0.206166819728247,-0.11454624985167,-0.0504023962110425
A002290,KOSDAQ,0.995002492319846,0.997198831165757,0.997165693556403,0.299304290247487,1.0,-0.561428959403364,-0.054682265701484,0.706377131149938,0.677850709946088,0.572629929406068,0.139373361685874,0.106165321150566
A002680,KOSDAQ,0.97785536106087,0.985799854060493,0.988393087539343,0.202352854761607,0.859823581474422,-0.108622048318008,-0.170191470599754,0.0886809867491488,0.119592140298684,0.0437978719412762,-0.222956909400808,0.158805362228042
A002800,KOSDAQ,0.980064295375962,0.987217476372275,0.989099875056226,0.325086321444136,0.999999999923884,-0.341889486331167,0.000274250207389016,0.330007143529893,0.544027422421289,0.105320510753763,-0.543014805213376,0.0764366689829284
A003100,KOSDAQ,0.997769627420497,0.999001362151506,0.998571387108213,0.33168290596632,1.0,0.833537614401756,-0.0471601853630891,0.764484257265552,0.662355652637747,0.474930701713961,-0.248971114836401,0.135831870347714
A003310,KOSDAQ,0.993872244068434,0.996612517818791,0.996450168709273,0.250850273602039,0.99999999991441,-0.158334756666473,-0.00713677965896907,0.681041097270745,0.614263764190816,0.488046860206135,0.0333721516231082,0.239712263368037
A003380,KOSDAQ,0.997677758675147,0.998873407834866,0.999018359157567,0.0389197128140384,0.916448688648259,-0.80449352141582,-0.0983362122857008,0.117967004032,0.0161711124134429,-0.469936196289378,-0.646260404550535,0.251571182140259
A003800,KOSDAQ,0.994147166712142,0.994707322531015,0.996680758043264,-0.0249248540986621,0.999999999993309,0.72566101511131,-0.0818014970182075,0.648330817802658,0.688878997908992,0.683100223910924,0.363685374739685,0.198010867199297
A004590,KOSDAQ,0.992923412468057,0.994237231277317,0.995845866698896,0.240786604489653,1.0,0.476376792173227,0.0153845749850769,0.610445116949584,0.711439003096066,0.576790870337511,0.403806780375851,0.122879793129189
A004650,KOSDAQ,0.995670774345247,0.997389924588254,0.997736965696919,0.014695248514833,0.963376695525881,0.277773492263899,0.0353981165614016,-0.332195460211859,-0.214907340046626,-0.519384662694715,-0.0706583579976503,-0.193704407425193
A004780,KOSDAQ,0.994894573989326,0.995953646895868,0.997525365400773,0.0259354227882249,0.999999999901463,0.0163254554575503,-0.00541578228926069,-0.0197293528970367,0.0050565782142178,-0.41714321088279,-0.26263931666882,-0.0905004238571282
A005160,KOSDAQ,0.995394272422036,0.997763887614905,0.997679075583779,0.0246891867155607,0.985367120145371,0.0952092995668762,0.073807206656616,0.0631897214488601,-0.0455793668521443,-0.299881810789117,-0.34922901144208,-0.146093180411402
A005290,KOSDAQ,0.998432792546846,0.999394272999628,0.999303567882792,0.211545217117382,0.999601923218246,0.618302491916821,-0.019407120967141,0.792305485521508,0.76300601709706,0.8197399537688,0.165409122426063,0.27019558294613
A005670,KOSDAQ,0.994475568086913,0.997071042160799,0.996967236701872,0.21767762386478,0.963130817738561,0.520352744060015,0.146635635377417,0.472867826198693,0.60026394293183,0.563238140057378,0.478260032071271,0.137800147605055
A005710,KOSDAQ,0.996075360057263,0.997482017501108,0.997891733864626,0.0162029748695384,0.976218859139215,-0.53552550378462,0.013787579979875,0.0755615062871069,-0.196118500346361,-0.276482600813466,-0.729991204812574,0.00338622492208143
A005860,KOSDAQ,0.986326063808968,0.991392169658806,0.991966759540039,0.28306629481496,0.930140717839925,-0.206561377657757,-0.00683917859617297,0.300972130988701,0.294492162545079,0.173793540135348,0.147804874800936,0.0710033050294525
A005990,KOSDAQ,0.997367767825133,0.99834069381429,0.998467489990465,0.335538593393695,0.791671087105265,0.660452511020148,-0.0296233099467432,-0.351385924043215,-0.46220653636465,-0.673670601631855,-0.204536489693997,-0.217774977386424
A006050,KOSDAQ,0.992060048151536,0.995316084985579,0.996186447899622,0.295692719530613,0.995940042151747,-0.084699011100495,0.0016449556734565,0.404180499048283,0.519237536201216,0.554166754507532,0.343083911777985,-0.0354620120374235
